NEU_E3	NEU_E3	NEU_E3	NEU_E4	NEU_E4	NEU_E4
PADI6	0	4	2	0	0	1
RCC2	205	462	254	360	342	417
ARHGEF10L	627	593	546	627	547	635
ACTL8	0	0	1	1	1	0
IGSF21	472	521	748	680	805	502
KLHDC7A	5	6	6	2	4	7
PAX7	6	4	12	10	8	4
TAS1R2	0	0	0	0	1	0
ALDH4A1	170	179	180	181	230	240
MIR4695	0	0	0	0	0	0
IFFO2	352	400	395	461	463	428
UBR4	1763	1754	1954	2606	2039	2268
EMC1	1193	1146	1189	1421	1447	1427
MRTO4	344	322	368	298	321	286
AKR7L	10	2	4	3	0	3
AKR7A3	1	3	2	5	3	0
LOC100506730	45	78	53	71	60	57
AKR7A2	207	192	196	189	193	192
PQLC2	184	169	170	168	207	165
CAPZB	1719	2183	2108	1938	2323	2023
MINOS1	473	453	556	443	640	530
C1orf151-NBL1	0	0	0	0	0	0
NBL1	5	4	3	3	1	4
HTR6	65	16	37	46	35	34
TMCO4	6	1	4	4	1	0
RNF186	0	0	0	0	0	0
OTUD3	206	199	149	206	163	139
PLA2G2E	0	0	0	0	0	0
PLA2G2A	0	0	0	0	2	0
PLA2G5	0	0	0	1	0	0
PLA2G2D	0	0	0	1	0	0
PLA2G2F	0	0	0	0	0	0
PLA2G2C	0	0	0	0	0	0
UBXN10	61	33	50	56	51	46
VWA5B1	39	19	11	31	16	11
LOC339505	0	1	1	1	1	0
CAMK2N1	7453	6447	8318	6497	7890	3433
MUL1	405	331	464	337	476	487
FAM43B	202	166	182	193	203	129
CDA	0	1	0	0	0	0
PINK1	2070	1797	2189	2101	2342	2150
DDOST	1380	1467	1370	1495	1507	1425
KIF17	177	145	165	221	218	152
SH2D5	29	29	21	49	16	11
HP1BP3	1175	2146	1898	2294	1980	1879
EIF4G3	2547	2558	2484	3523	3003	2795
ECE1	489	609	571	572	572	566
LOC100506801	1	1	0	1	2	1
NBPF3	56	53	41	62	45	45
ALPL	8	20	4	5	4	8
RAP1GAP	1070	691	784	973	947	1056
USP48	571	743	705	767	753	612
LDLRAD2	3	0	2	0	5	4
HSPG2	70	163	57	123	54	93
CELA3B	0	0	0	0	0	0
CELA3A	0	0	0	0	0	0
LINC00339	120	124	152	112	124	123
CDC42	2941	3625	4158	3686	4375	3153
WNT4	330	340	515	461	494	274
ZBTB40	179	209	189	254	227	194
EPHA8	678	492	563	618	576	548
C1QA	0	0	0	0	0	0
C1QC	0	0	0	0	0	0
C1QB	0	0	0	0	0	0
EPHB2	842	1043	1103	1320	1157	1132
MIR4684	0	0	0	0	0	0
MIR4253	0	0	0	0	0	0
LOC729059	0	2	0	0	0	0
KDM1A	1428	2571	2252	2248	2254	2304
MIR3115	0	0	0	0	0	0
LUZP1	403	331	323	398	385	345
HTR1D	2	4	2	5	6	2
HNRNPR	919	1823	1692	1803	1740	1534
ZNF436	384	393	494	507	565	560
C1orf213	53	30	21	38	20	27
TCEA3	9	5	5	5	3	1
ASAP3	237	293	199	293	205	269
E2F2	0	15	0	2	1	0
ID3	250	13	11	6	6	3
MDS2	0	0	0	1	0	0
RPL11	2892	3750	2959	2932	3075	3249
TCEB3	441	585	603	647	605	633
LOC100506963	12	27	21	32	20	18
PITHD1	952	1012	1130	1060	1281	1336
LYPLA2	373	431	388	427	405	421
GALE	228	195	184	184	189	219
HMGCL	116	107	98	96	88	73
FUCA1	308	286	410	338	388	363
CNR2	0	0	0	2	0	0
MIR378F	0	0	0	0	0	0
PNRC2	150	269	201	193	196	155
SRSF10	346	700	443	510	599	455
MYOM3	4	1	0	1	1	1
IL22RA1	0	0	1	0	0	0
IFNLR1	37	30	28	25	27	20
LOC284632	0	0	0	0	0	0
GRHL3	1	1	0	0	0	0
STPG1	167	98	141	155	169	104
NIPAL3	1034	552	521	763	647	556
RCAN3AS	1	1	0	0	1	0
RCAN3	636	528	446	640	518	591
NCMAP	0	0	0	1	2	1
SRRM1	420	683	618	667	611	569
CLIC4	588	898	625	783	607	641
RUNX3	0	2	2	0	0	2
SYF2	155	297	259	232	257	185
C1orf63	106	148	59	136	90	47
RHD	0	0	0	0	0	1
TMEM50A	801	1275	1359	1213	1596	1630
RHCE	11	17	9	9	20	12
TMEM57	538	885	862	866	885	1032
LDLRAP1	0	28	3	4	1	1
MAN1C1	137	114	116	142	135	105
SEPN1	783	1251	1025	1199	1073	1186
MTFR1L	842	684	752	733	772	805
LOC646471	1	0	1	1	0	4
AUNIP	12	25	15	14	13	8
PAQR7	273	215	214	255	295	281
STMN1	8499	16552	15530	14210	18629	14347
MIR3917	0	0	0	0	0	0
PAFAH2	57	76	52	56	77	54
EXTL1	74	36	62	47	58	25
SLC30A2	43	28	29	22	21	47
TRIM63	0	1	0	0	0	0
PDIK1L	307	442	418	394	434	406
FAM110D	8	3	2	3	4	8
ZNF593	124	85	108	81	101	82
CNKSR1	38	40	21	37	27	30
CATSPER4	0	1	0	0	0	0
CEP85	141	228	167	222	194	248
SH3BGRL3	1512	1226	1368	1084	1289	1051
UBXN11	50	47	43	47	42	33
CD52	1	2	0	1	0	0
AIM1L	22	21	40	32	22	22
ZNF683	0	0	0	0	0	0
LIN28A	5	26	21	15	16	8
DHDDS	504	388	455	497	403	444
HMGN2	417	797	585	539	549	512
RPS6KA1	170	163	196	182	182	187
MIR1976	0	0	0	0	0	0
ARID1A	1137	1902	1688	2119	1935	1937
PIGV	79	67	71	61	77	58
ZDHHC18	369	313	321	349	351	355
SFN	1	3	4	2	7	5
GPN2	100	96	111	105	87	82
GPATCH3	96	99	105	85	81	115
NR0B2	2	0	0	0	0	1
NUDC	765	818	792	653	775	738
C1orf172	2	5	3	3	3	6
TRNP1	897	605	844	723	821	617
FAM46B	0	1	4	0	1	1
SLC9A1	454	380	479	454	448	454
WDTC1	901	978	950	1133	1044	1384
TMEM222	564	486	630	429	528	479
LOC644961	6	13	11	5	14	15
SYTL1	14	5	2	6	1	2
MAP3K6	105	90	51	78	73	70
FCN3	0	0	3	0	0	0
CD164L2	8	0	0	4	2	2
GPR3	106	28	47	37	30	27
WASF2	169	328	140	220	159	244
AHDC1	588	917	814	971	861	832
FGR	0	0	0	0	0	0
IFI6	168	68	48	57	78	46
FAM76A	48	74	61	68	56	73
STX12	1391	1705	2001	1904	2001	1510
PPP1R8	407	453	472	434	414	491
SCARNA1	0	0	0	0	0	0
THEMIS2	5	16	11	15	3	11
RPA2	158	210	200	197	256	212
SMPDL3B	1	1	2	2	0	0
XKR8	4	18	5	4	7	16
EYA3	292	305	309	404	352	354
PTAFR	1	8	3	6	1	6
DNAJC8	729	1025	1045	848	1095	947
ATPIF1	1557	1025	1276	1039	1227	996
SESN2	411	409	454	436	403	393
MED18	87	90	80	74	88	54
PHACTR4	295	504	409	498	417	404
SNHG3	55	69	78	67	90	42
RCC1	46	113	90	81	98	94
TRNAU1AP	170	272	269	264	265	256
SNHG12	38	39	30	30	28	16
SNORD99	1	0	2	0	1	0
SNORA61	2	3	1	2	0	4
SNORA44	0	0	1	2	0	0
SNORA16A	0	0	1	1	1	2
RAB42	0	3	0	2	3	0
TAF12	185	220	205	182	200	183
RNU11	0	0	0	0	1	0
GMEB1	111	132	111	135	101	134
YTHDF2	451	721	699	651	790	819
OPRD1	15	14	19	18	22	14
EPB41	674	2044	1282	1840	1314	1427
TMEM200B	4	7	10	4	7	9
SRSF4	561	834	756	670	764	643
MECR	251	186	218	197	167	221
PTPRU	961	579	640	934	607	627
MATN1	15	13	5	16	5	17
MATN1-AS1	6	2	2	0	3	1
LAPTM5	33	27	16	23	23	8
MIR4420	0	0	0	0	0	0
SDC3	5474	5472	6040	7424	7169	5444
PUM1	1323	1639	1645	1680	1916	1791
SNORD103B	0	0	0	0	0	0
SNORD103A	0	0	0	0	0	0
SNORD85	0	0	0	0	0	0
NKAIN1	1204	1778	1749	2125	1925	2072
SNRNP40	235	308	246	212	295	281
ZCCHC17	622	657	698	697	751	664
FABP3	733	327	220	342	309	185
SERINC2	75	98	57	107	66	117
LOC149086	0	0	0	0	0	0
LOC284551	1	1	0	0	0	0
TINAGL1	13	6	2	8	2	1
HCRTR1	176	57	68	111	75	25
PEF1	509	398	450	354	412	363
COL16A1	28	23	7	17	8	3
BAI2	2560	1838	2016	2220	2052	1467
MIR4254	0	0	0	0	0	0
SPOCD1	1	1	0	0	1	0
PTP4A2	1864	2236	2477	2242	2462	2287
KHDRBS1	1704	2905	2441	2539	2500	2504
TMEM39B	121	137	167	154	175	172
KPNA6	1383	1375	1233	1714	1456	1362
TXLNA	434	585	482	571	604	623
CCDC28B	197	239	242	235	211	229
IQCC	30	36	27	24	19	26
DCDC2B	0	1	0	0	0	0
TMEM234	145	112	129	139	118	90
EIF3I	847	896	795	732	783	772
MTMR9LP	3	42	4	9	4	6
FAM167B	2	3	3	1	2	1
LCK	1	1	0	2	0	0
HDAC1	62	203	82	89	82	84
MARCKSL1	5629	9876	11179	8800	12058	10217
FAM229A	57	39	11	35	36	22
TSSK3	0	0	0	0	0	0
BSDC1	729	871	746	876	799	789
ZBTB8B	73	129	130	173	163	115
ZBTB8A	207	367	337	419	381	373
ZBTB8OS	100	110	121	113	114	92
RBBP4	855	1446	1190	1236	1281	1176
SYNC	57	27	35	37	45	32
KIAA1522	906	824	851	1018	1004	1085
YARS	2031	1488	1662	1561	1594	1696
S100PBP	412	346	350	389	414	298
FNDC5	281	1170	498	587	583	1079
HPCA	1001	1210	1017	1107	1373	1057
TMEM54	265	125	96	142	119	129
RNF19B	679	949	1023	982	1109	903
AK2	339	266	201	268	275	250
ADC	109	133	99	135	105	112
TRIM62	374	415	434	450	446	423
ZNF362	645	757	726	728	672	766
PHC2	591	985	724	736	696	885
MIR3605	0	1	0	0	0	0
ZSCAN20	45	35	36	68	37	50
CSMD2	172	155	153	282	193	186
HMGB4	0	0	0	0	0	0
LOC402779	0	0	0	0	0	0
C1orf94	2	3	4	0	1	0
GJB5	0	0	0	0	0	0
GJB4	0	0	0	0	0	0
GJB3	0	0	0	0	0	1
GJA4	0	0	0	0	0	0
SMIM12	355	296	404	309	332	342
DLGAP3	733	474	562	808	611	545
LOC653160	7	12	4	5	7	7
ZMYM6NB	6	12	1	6	5	4
ZMYM6	192	180	192	201	217	193
ZMYM1	54	88	70	103	101	111
SFPQ	1445	2191	2252	1918	2299	1946
ZMYM4	900	1304	1133	1491	1593	1273
KIAA0319L	904	861	855	994	1052	833
NCDN	1462	1159	1403	1555	1557	1654
TFAP2E	16	29	22	23	17	21
PSMB2	1486	1598	1853	1536	1786	1777
C1orf216	1311	1224	1548	1529	1744	1392
CLSPN	28	53	21	31	17	15
AGO4	374	791	685	893	711	800
AGO1	205	376	205	338	218	243
AGO3	46	81	39	72	46	46
TEKT2	12	33	20	19	20	13
ADPRHL2	232	231	200	191	195	186
COL8A2	9	9	15	18	12	14
TRAPPC3	455	571	552	494	546	467
MAP7D1	3057	2692	2444	2867	2240	2356
THRAP3	935	1402	1193	1416	1275	1325
SH3D21	195	75	36	90	79	42
EVA1B	0	6	1	2	0	0
STK40	822	718	714	772	730	759
LSM10	293	270	300	224	317	262
OSCP1	73	81	74	87	64	61
MRPS15	397	351	349	284	352	360
CSF3R	0	0	0	1	0	2
GRIK3	762	818	947	1482	1230	1409
MIR4255	0	0	0	0	0	0
LOC728431	7	11	5	3	2	15
ZC3H12A	7	7	4	2	1	4
MEAF6	1619	1808	1929	1923	2067	1782
MIR5581	0	0	1	1	0	0
SNIP1	138	226	185	187	202	222
DNALI1	171	327	193	267	205	231
GNL2	357	526	402	432	443	465
RSPO1	0	4	3	4	0	1
C1orf109	91	90	82	67	87	71
CDCA8	5	50	3	10	8	14
EPHA10	330	307	310	369	362	281
MANEAL	1247	1005	958	1088	1127	1179
YRDC	137	120	99	86	107	126
C1orf122	567	422	543	425	517	483
MTF1	89	114	116	129	105	100
INPP5B	84	94	60	56	44	78
SF3A3	537	869	780	700	745	747
FHL3	108	128	97	115	75	93
UTP11L	329	357	362	378	356	383
POU3F1	204	167	195	215	166	182
MIR3659	0	0	0	0	0	0
LOC339442	0	0	0	0	0	0
RRAGC	318	414	428	369	471	483
GJA9-MYCBP	0	0	0	0	0	0
MYCBP	0	0	0	0	0	0
GJA9	0	0	0	0	0	0
RHBDL2	0	0	1	0	0	0
AKIRIN1	1232	1325	1493	1504	1552	1315
NDUFS5	955	1209	1372	1056	1294	1127
MACF1	1954	2570	2380	3570	2912	2865
KIAA0754	39	82	44	66	53	88
BMP8A	98	97	173	146	163	163
PPIEL	4	26	14	30	22	21
PABPC4	938	1145	1058	1124	1165	1197
SNORA55	0	0	0	0	0	0
HEYL	5	121	21	41	17	6
NT5C1A	34	14	17	22	13	17
HPCAL4	2805	2362	3355	3552	3514	2307
PPIE	244	207	214	197	183	171
BMP8B	76	75	103	98	80	54
OXCT2	1	2	1	3	0	3
TRIT1	123	166	138	129	142	130
MYCL1	91	194	140	151	101	212
MFSD2A	84	46	49	50	44	28
CAP1	1792	1871	1982	2034	2000	1908
PPT1	811	584	714	732	790	631
RLF	483	526	434	595	525	422
TMCO2	0	0	0	1	0	0
ZMPSTE24	337	395	431	406	475	488
COL9A2	20	32	18	19	14	5
SMAP2	1717	1530	1742	1770	1746	1665
ZFP69B	115	107	84	151	120	139
ZFP69	77	64	66	71	96	72
EXO5	83	112	91	106	107	125
ZNF684	14	18	18	18	25	17
RIMS3	2404	2655	3015	4015	3638	4817
LOC100130557	13	14	9	7	7	8
NFYC	522	723	761	648	731	762
MIR30E	0	0	0	0	0	0
MIR30C1	0	0	0	0	0	0
KCNQ4	25	26	20	33	24	33
CITED4	115	57	78	74	69	63
CTPS1	490	514	518	448	518	552
SLFNL1-AS1	0	1	0	3	2	1
SLFNL1	1	3	0	1	3	2
SCMH1	665	658	717	806	755	787
EDN2	0	1	0	1	0	1
HIVEP3	396	334	396	575	510	416
GUCA2B	0	0	0	0	0	0
GUCA2A	0	0	0	0	0	0
FOXJ3	664	795	825	960	887	985
RIMKLA	1219	732	985	1153	1241	1064
ZMYND12	10	15	6	11	22	5
PPCS	332	318	337	324	388	270
CCDC30	58	87	71	90	86	28
PPIH	117	128	107	113	122	99
YBX1	2372	3250	3151	3115	3738	3014
CLDN19	1	0	0	1	0	1
LEPRE1	131	164	134	122	114	141
C1orf50	145	155	160	161	172	140
LOC100129924	3	5	4	2	6	6
CCDC23	259	378	277	314	310	346
ERMAP	105	51	63	85	79	90
ZNF691	26	52	33	45	42	55
SLC2A1	912	409	196	263	283	227
SLC2A1-AS1	11	5	5	7	7	3
FAM183A	0	0	0	1	3	0
EBNA1BP2	494	445	544	383	491	408
WDR65	7	21	23	23	26	11
TMEM125	2	1	5	2	2	4
C1orf210	0	1	0	0	0	0
TIE1	2	11	1	3	0	0
MPL	0	2	1	0	3	2
CDC20	2	60	7	5	1	4
ELOVL1	54	68	42	36	39	43
MED8	429	340	370	340	334	369
SZT2	338	284	236	423	276	311
HYI	34	35	19	36	31	38
PTPRF	2714	3080	2670	3771	3332	4221
KDM4A	528	908	887	903	1024	1045
KDM4A-AS1	3	5	3	1	4	1
ST3GAL3	561	411	429	404	491	478
ARTN	8	7	12	6	11	7
IPO13	459	426	460	428	384	483
DPH2	134	93	114	125	122	138
ATP6V0B	2453	1880	2505	1966	2672	2338
B4GALT2	945	893	1115	987	1180	1138
CCDC24	117	72	65	91	85	83
SLC6A9	195	194	200	158	164	95
KLF17	0	0	0	3	0	0
DMAP1	331	425	405	346	361	384
ERI3	1030	889	1040	973	1057	960
RNF220	1390	1252	1372	1565	1517	986
MIR5584	0	0	0	0	0	0
TMEM53	95	98	117	105	113	86
C1orf228	11	40	14	25	14	17
KIF2C	8	61	4	12	4	7
RPS8	2094	2343	2135	2010	2195	2541
SNORD55	9	6	6	8	11	9
SNORD46	2	0	0	0	0	0
SNORD38A	0	0	1	1	0	0
SNORD38B	0	0	2	0	0	1
BEST4	15	13	8	14	17	14
PLK3	273	187	213	179	193	171
TCTEX1D4	0	0	0	0	0	0
BTBD19	2	3	6	4	1	3
PTCH2	57	62	60	83	71	61
EIF2B3	325	274	305	276	281	292
HECTD3	371	424	271	367	328	294
UROD	305	230	179	193	182	199
ZSWIM5	475	716	740	1013	1018	1029
LOC400752	1	6	2	5	1	2
HPDL	3	7	6	2	4	4
MUTYH	34	40	28	30	29	42
TOE1	104	88	117	77	87	133
TESK2	3	8	6	9	1	3
CCDC163P	28	24	15	13	27	18
MMACHC	40	29	28	48	37	28
PRDX1	1700	3325	2551	1836	2108	1720
AKR1A1	453	622	721	548	628	732
NASP	379	979	754	711	658	600
CCDC17	4	5	1	6	0	3
GPBP1L1	355	507	411	459	437	481
RPS15AP10	0	0	0	0	1	0
TMEM69	110	143	122	116	124	126
IPP	84	104	88	83	101	109
MAST2	1433	1143	1154	1504	1217	1339
PIK3R3	981	2227	1868	2501	2187	2078
TSPAN1	9	5	5	6	4	6
POMGNT1	802	772	639	766	736	707
LURAP1	36	18	21	30	22	28
RAD54L	1	12	1	1	4	0
LRRC41	683	719	740	730	751	825
UQCRH	896	679	763	761	975	652
NSUN4	151	136	102	132	116	124
FAAH	363	248	305	266	258	276
LOC729041	2	0	0	0	0	1
DMBX1	0	0	1	1	2	0
MKNK1-AS1	0	1	1	0	1	2
KNCN	3	3	6	4	1	6
