MIC_E3	MIC_E3	MIC_E3	MIC_E3	MIC_E4	MIC_E4	MIC_E4	MIC_E4
TNFRSF25	75	74	42	98	131	37	187	150
PLEKHG5	437	659	526	456	820	425	968	1224
NOL9	828	822	976	966	571	642	722	891
TAS1R1	0	2	0	1	0	0	0	0
ZBTB48	446	309	304	447	476	384	539	552
KLHL21	1311	1166	1058	1226	1117	1489	1524	1606
PHF13	862	1053	879	599	599	634	447	426
THAP3	248	293	247	284	336	195	301	290
DNAJC11	1613	1568	1609	1625	1345	1328	1524	1515
CAMTA1	843	719	864	697	903	791	569	621
VAMP3	5242	3817	4256	4806	4444	5045	5373	5291
PER3	1636	1158	1301	1525	910	2079	2539	1898
UTS2	0	0	0	0	0	0	0	0
TNFRSF9	144	29	42	168	70	67	7	11
PARK7	3777	3671	3815	3612	4041	3450	2776	2823
ERRFI1	750	1461	1203	465	821	834	77	90
SLC45A1	24	37	51	18	20	9	9	3
RERE	3149	3278	3682	3750	1596	2466	2918	3351
ENO1	35449	27933	32163	34346	35007	32798	27941	25155
ENO1-AS1	3	0	1	3	2	0	0	0
CA6	0	0	0	0	0	0	0	0
SLC2A7	3	0	2	1	0	0	0	0
SLC2A5	116	29	48	55	24	15	9	18
GPR157	102	53	50	82	22	63	60	84
MIR34A	4	2	1	5	0	0	5	4
H6PD	3557	3258	2963	3512	1505	2471	2718	3339
SPSB1	234	743	552	336	189	141	118	64
SLC25A33	287	210	254	205	319	262	200	215
TMEM201	416	467	530	403	317	266	365	333
PIK3CD	3138	1828	1851	2703	1734	1742	2253	1918
C1orf200	21	7	13	26	26	12	11	8
CLSTN1	7378	6959	7525	6998	4446	5138	5506	6117
CTNNBIP1	1276	1039	1183	1070	1183	1132	1072	1204
LZIC	870	724	835	735	520	853	770	754
NMNAT1	594	452	471	550	416	595	636	636
RBP7	146	207	167	213	322	186	436	760
UBE4B	3009	3057	3143	3680	1423	3223	3485	3665
KIF1B	5267	4055	5506	5088	1722	6245	7130	6486
PGD	10998	9004	9961	11614	8140	12737	14173	12628
APITD1-CORT	2	2	0	7	2	1	2	1
APITD1	50	53	40	58	64	23	16	6
CORT	0	1	3	0	0	0	4	0
DFFA	784	774	780	765	506	552	718	815
PEX14	474	489	461	431	485	348	499	493
CASZ1	50	33	82	101	19	36	38	27
C1orf127	158	100	94	159	156	145	223	259
TARDBP	3261	2870	3355	3318	2424	2769	2657	2597
MASP2	0	0	0	0	0	1	0	0
SRM	2035	3263	2864	2110	2469	1402	1302	1417
EXOSC10	2168	1858	1846	2451	1166	1811	2374	1897
MTOR	2835	2214	2611	3091	796	2211	2580	2900
MTOR-AS1	0	0	0	0	0	0	0	0
ANGPTL7	12	8	5	11	5	2	1	0
UBIAD1	475	492	527	348	340	447	422	416
PTCHD2	5	16	66	4	6	9	0	1
FBXO2	36	183	173	101	112	12	1	1
FBXO44	243	236	217	246	296	168	230	249
FBXO6	477	281	222	338	459	422	326	407
MAD2L2	630	598	587	452	693	387	356	417
DRAXIN	11	88	192	8	6	3	2	3
AGTRAP	1652	917	884	1092	1119	803	940	895
MTHFR	2189	1693	1641	1927	1410	2081	2692	2542
CLCN6	722	561	631	814	356	685	1115	1058
NPPA-AS1	16	18	10	39	8	15	32	35
NPPA	2	1	5	0	0	0	0	0
NPPB	0	0	1	0	0	0	1	0
KIAA2013	1805	1331	1276	1430	1644	1438	1600	1805
PLOD1	7260	8655	7409	7653	4682	4354	4518	5507
MFN2	3309	3239	3420	2992	2080	2852	2756	2849
MIIP	612	472	426	471	757	369	440	407
TNFRSF8	130	94	76	83	37	42	36	214
TNFRSF1B	16318	9914	10214	10388	10083	14030	13275	16805
MIR4632	0	0	0	0	0	1	0	0
VPS13D	2332	1612	2035	2720	679	2377	2797	3140
SNORA59B	0	0	0	0	0	0	0	0
SNORA59A	0	0	0	0	0	0	0	0
DHRS3	1011	761	628	499	1160	378	861	645
AADACL4	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
C1orf158	0	0	2	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0
LOC649330	0	0	0	0	0	1	0	0
HNRNPCL1	0	0	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0
PRAMEF22	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0
LOC440563	0	0	0	0	1	1	0	0
PRAMEF3	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0
PRAMEF16	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0
PRAMEF21	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0
LRRC38	0	10	5	3	2	0	1	0
PDPN	2013	4234	3701	2996	1093	478	171	102
PRDM2	1361	1131	1370	1416	483	1061	1289	1317
KAZN	91	242	309	66	124	50	22	17
TMEM51-AS1	46	42	49	66	29	59	68	128
TMEM51	1525	844	1049	1215	1163	1318	1505	1915
FHAD1	13	5	15	29	13	14	20	41
EFHD2	5513	3864	3981	4500	5916	4080	4725	4527
CTRC	0	0	0	0	0	2	0	0
CELA2A	0	0	0	1	0	0	0	0
CELA2B	0	0	0	1	0	0	0	0
CASP9	447	311	269	317	311	332	308	363
DNAJC16	766	786	828	952	320	779	850	1058
AGMAT	19	29	13	12	6	6	4	1
DDI2	326	247	265	408	44	315	369	312
RSC1A1	212	177	162	262	87	193	236	209
PLEKHM2	6725	4936	5129	5880	5018	5662	6633	7312
SLC25A34	30	23	21	69	17	14	38	23
TMEM82	0	0	0	0	0	0	0	0
FBLIM1	1012	1330	1067	925	683	416	231	132
UQCRHL	22	31	37	34	36	41	27	30
FLJ37453	51	87	86	53	79	60	77	53
SPEN	3529	2666	3415	4058	904	3181	4480	4916
ZBTB17	684	449	516	675	567	348	499	507
C1orf64	0	0	0	0	0	0	0	0
HSPB7	329	1031	694	1293	97	125	101	59
CLCNKA	0	2	3	4	0	0	0	0
CLCNKB	0	1	1	2	0	0	0	0
FAM131C	4	2	0	1	4	0	0	0
EPHA2	265	221	225	163	256	165	43	27
ARHGEF19	182	499	311	237	126	70	47	40
RSG1	93	71	80	76	53	53	80	87
FBXO42	1174	851	930	1070	717	1114	991	1184
SZRD1	3895	3890	3981	3652	3086	3018	3237	3466
SPATA21	0	0	0	0	0	0	0	0
NECAP2	6304	3868	3923	4955	6011	5005	5615	5643
CROCCP3	21	41	31	67	5	29	63	37
MIR3675	0	0	0	0	0	0	0	0
NBPF1	730	854	855	690	313	909	1195	1066
CROCCP2	167	164	135	203	124	96	155	135
MST1P2	6	5	4	2	3	4	6	9
ESPNP	0	0	0	0	0	0	0	0
MST1L	5	6	0	2	5	0	5	2
CROCC	452	495	424	421	281	220	317	354
MFAP2	622	2640	2182	1671	750	153	46	4
ATP13A2	3616	2210	2087	2301	3169	1845	2012	1487
SDHB	2131	1643	1919	2200	2741	2084	1792	1663
PADI2	6	7	10	15	4	18	10	38
PADI1	0	0	0	0	0	0	0	0
PADI3	0	0	1	0	0	0	0	0
PADI4	0	0	0	0	0	0	0	0
PADI6	0	0	0	0	0	0	0	0
RCC2	5486	4671	5001	5599	3908	3942	3795	4428
ARHGEF10L	5006	2157	2200	2743	2571	2789	4504	5416
ACTL8	1	3	0	0	0	0	0	0
IGSF21	6	3	14	0	26	1	0	5
KLHDC7A	4	5	18	1	1	3	0	0
PAX7	0	6	59	18	0	0	0	0
TAS1R2	0	0	0	0	0	0	0	0
ALDH4A1	750	436	453	550	595	577	778	738
MIR4695	0	0	0	0	0	0	0	0
IFFO2	488	364	334	371	189	327	348	296
UBR4	6863	5306	6109	7700	2460	8006	8395	9089
EMC1	2261	2589	2593	2381	1242	1842	1789	2208
MRTO4	707	729	759	674	801	467	557	525
AKR7L	3	2	1	0	0	0	0	2
AKR7A3	1	6	6	2	1	0	5	1
LOC100506730	65	59	65	59	55	67	78	78
AKR7A2	1462	1423	1282	1211	1705	1181	1346	1290
PQLC2	1053	938	897	920	1351	918	1099	968
CAPZB	21047	16233	17999	18528	21798	22815	23710	23490
MINOS1	1667	1513	1593	1255	2342	1520	1101	934
C1orf151-NBL1	0	0	2	1	0	0	1	0
NBL1	96	141	77	46	113	96	128	82
HTR6	0	3	6	0	4	3	0	0
TMCO4	421	292	289	366	312	261	356	460
RNF186	0	0	0	0	0	0	0	0
OTUD3	175	267	278	221	79	140	149	131
PLA2G2E	0	0	0	0	0	0	0	0
PLA2G2A	46	203	224	56	23	0	11	0
PLA2G5	0	6	12	0	1	0	0	0
PLA2G2D	2709	457	524	1624	4541	1523	1103	515
PLA2G2F	0	0	0	0	0	0	0	0
PLA2G2C	0	0	0	0	0	1	0	0
UBXN10	14	5	10	1	2	1	0	0
VWA5B1	0	5	5	0	0	0	0	0
LOC339505	2	0	1	0	0	0	0	0
CAMK2N1	116	188	380	69	114	110	6	0
MUL1	1361	1297	1240	1151	1408	1364	1133	1309
FAM43B	9	30	19	13	7	1	0	0
CDA	4	10	4	8	1	2	11	10
PINK1	2415	1830	1885	1919	2479	2287	2648	2891
DDOST	7609	8522	8025	6788	5749	5622	5199	5511
KIF17	251	156	222	134	342	293	309	318
SH2D5	2	6	6	3	7	5	1	0
HP1BP3	4426	4168	4418	4971	2081	3802	3588	3365
EIF4G3	2518	2483	2734	3056	941	1408	1695	2354
ECE1	610	1633	1208	1320	593	366	41	0
LOC100506801	0	0	0	0	0	0	0	0
NBPF3	76	102	72	71	14	45	54	74
ALPL	45	38	54	202	37	2	0	0
RAP1GAP	9	31	31	11	9	9	0	0
USP48	1612	1257	1349	1587	1007	1233	1460	1318
LDLRAD2	6	29	10	4	2	1	0	0
HSPG2	2615	6746	5026	5548	1123	816	272	337
CELA3B	0	0	0	0	0	0	0	0
CELA3A	0	0	0	0	0	0	0	0
LINC00339	382	273	291	280	405	308	332	366
CDC42	12102	9079	11083	11977	8341	12041	10873	10751
WNT4	14	26	45	5	1	0	0	0
ZBTB40	1018	801	892	1439	380	856	1427	1649
EPHA8	0	0	4	0	5	0	0	0
C1QA	24939	15526	14210	14210	31939	13330	17243	18525
C1QC	51666	38067	38592	38218	59528	36590	45779	54363
C1QB	35333	23512	23081	29143	39973	17339	26647	29537
EPHB2	1732	1811	2601	2218	1432	2078	2261	3671
MIR4684	0	0	0	0	0	0	0	0
MIR4253	0	0	0	0	0	0	0	0
LOC729059	0	0	0	0	1	0	0	0
KDM1A	1610	1919	2283	1787	1202	1152	1218	1070
MIR3115	0	0	0	0	0	0	0	0
LUZP1	2784	1934	2368	2857	942	2439	2294	2571
HTR1D	2	8	13	2	0	1	0	0
HNRNPR	3924	3670	4395	3970	2657	3252	2911	2928
ZNF436	554	924	917	580	358	468	295	286
C1orf213	11	15	12	18	6	6	7	7
TCEA3	90	365	181	83	47	13	6	2
ASAP3	170	449	424	200	107	39	12	12
E2F2	548	383	359	507	167	13	17	11
ID3	205	480	630	323	358	80	43	56
MDS2	0	0	0	0	0	0	0	0
RPL11	11560	14212	14900	13609	14719	13101	14116	14763
TCEB3	2654	2190	2346	2388	1483	2438	2283	2680
LOC100506963	26	15	21	15	8	30	21	10
PITHD1	2647	1755	1869	2210	2781	2390	2784	2988
LYPLA2	1597	1284	1303	1249	1913	1332	1464	1448
GALE	1457	1078	1075	1026	1569	1265	1216	1115
HMGCL	1507	1133	1135	1245	1854	1612	1396	1247
FUCA1	28920	17677	30958	45781	31370	66543	58879	100534
CNR2	15	15	31	77	8	70	105	213
MIR378F	0	0	0	0	0	0	0	0
PNRC2	1474	1031	1219	1384	997	1240	1214	1097
SRSF10	1911	1371	1714	2121	1070	1266	1490	1491
MYOM3	9	28	30	103	6	0	0	0
IL22RA1	0	0	0	1	1	0	0	0
IFNLR1	77	49	69	124	19	36	62	121
LOC284632	0	0	0	0	0	0	0	0
GRHL3	6	21	35	3	0	7	2	2
STPG1	83	59	79	89	32	37	51	78
NIPAL3	531	427	450	587	220	328	360	542
RCAN3AS	1	0	0	2	0	0	0	0
RCAN3	212	145	150	261	52	163	113	66
NCMAP	0	0	0	0	0	0	0	0
SRRM1	3058	2796	3056	3662	1521	2855	3566	3158
CLIC4	11581	9480	10576	10976	5027	8461	7566	7108
RUNX3	2939	1658	2130	1740	1940	4405	4393	7180
SYF2	1139	836	936	1153	1093	1137	1209	1238
C1orf63	179	100	108	319	125	99	335	353
RHD	0	0	0	0	0	0	0	0
TMEM50A	6148	3877	4380	4851	5234	6552	5408	5357
RHCE	27	9	11	4	7	128	1	0
TMEM57	1067	1049	1080	1044	601	1021	854	963
LDLRAP1	516	842	711	575	424	353	486	516
MAN1C1	1004	1169	1031	783	984	592	900	975
SEPN1	6390	5507	5664	5383	2834	3982	5566	5532
MTFR1L	1150	1101	1250	1195	963	1001	1164	1127
LOC646471	4	6	8	1	0	3	8	6
AUNIP	68	69	62	82	51	8	4	7
PAQR7	730	605	513	601	511	539	600	747
STMN1	6591	4286	5664	6442	5647	4087	4645	3909
MIR3917	0	0	0	0	0	0	0	0
PAFAH2	1033	602	632	818	480	1085	1205	1334
EXTL1	13	9	6	23	14	0	0	0
SLC30A2	11	6	4	1	2	1	39	30
TRIM63	9	9	1	21	0	1	1	0
PDIK1L	474	416	495	375	243	492	408	512
FAM110D	0	8	6	0	1	2	0	0
ZNF593	200	208	212	233	321	186	183	201
CNKSR1	0	1	5	2	0	0	3	0
CATSPER4	0	0	0	0	0	0	0	0
CEP85	544	309	361	508	239	303	411	448
SH3BGRL3	11336	9649	8897	12552	10089	9194	14216	9709
UBXN11	259	157	194	209	199	160	216	199
CD52	46	53	67	196	83	123	685	233
AIM1L	0	0	0	0	0	0	1	0
ZNF683	0	0	0	0	0	0	0	0
LIN28A	0	0	0	0	0	0	0	0
DHDDS	1572	1207	1240	1431	972	1314	1437	1377
HMGN2	6218	5234	5861	6570	5449	4376	4117	4045
RPS6KA1	3078	1972	2182	2807	1984	3258	4253	4389
MIR1976	0	0	0	0	0	0	0	0
ARID1A	4110	3854	4260	4825	1729	3568	4281	4681
PIGV	638	436	415	526	332	421	591	623
ZDHHC18	1174	798	765	935	781	705	765	756
SFN	0	1	5	0	0	0	0	0
GPN2	527	475	452	500	389	373	459	520
GPATCH3	541	435	398	493	566	447	507	488
NR0B2	0	0	0	0	0	0	0	0
NUDC	1717	1483	1580	1727	1878	1281	1649	1685
C1orf172	0	0	0	0	0	1	0	0
TRNP1	53	129	148	38	53	9	4	0
FAM46B	47	71	141	40	38	11	3	6
SLC9A1	1730	2267	2023	1736	1021	1239	1468	1533
WDTC1	2627	2074	2151	2372	1444	2206	2764	2928
TMEM222	1051	977	1008	946	1221	981	998	1175
LOC644961	32	25	17	33	31	41	22	16
SYTL1	1	8	7	1	8	1	0	0
MAP3K6	354	337	301	447	225	213	320	329
FCN3	0	0	0	0	0	0	0	0
CD164L2	0	0	0	0	0	0	0	0
GPR3	15	31	20	27	14	2	6	8
WASF2	8091	6695	7083	7589	4217	7793	8871	8022
AHDC1	878	1440	1325	920	588	471	445	296
FGR	1021	180	230	756	113	248	856	661
IFI6	1431	1294	850	1416	2697	1511	514	1312
FAM76A	319	256	248	354	233	361	346	315
STX12	5950	2771	3468	5059	3596	5474	5134	4742
PPP1R8	1082	1001	1040	1054	793	879	1021	969
SCARNA1	0	0	0	1	0	0	0	0
THEMIS2	3119	1353	1361	1648	2157	2751	3182	4238
RPA2	1423	1184	1254	1306	1253	1136	1076	1189
SMPDL3B	2	1	1	0	0	0	0	0
XKR8	362	386	310	281	265	230	250	236
EYA3	716	583	780	1045	335	716	851	883
PTAFR	5463	3016	3854	4283	4403	5706	5322	6093
DNAJC8	3260	2782	3168	3304	3407	2985	3072	2984
ATPIF1	1528	1246	1336	1439	1699	1225	1214	1289
SESN2	1198	1480	1430	692	861	718	979	1052
MED18	282	229	217	312	297	240	345	276
PHACTR4	1363	995	1192	1364	663	947	1188	1251
SNHG3	200	200	235	241	176	105	140	125
RCC1	1075	766	793	1006	546	474	594	628
TRNAU1AP	650	389	371	526	441	357	400	419
SNHG12	219	166	172	288	198	195	306	194
SNORD99	9	5	2	13	5	4	8	12
SNORA61	65	37	40	80	55	49	93	89
SNORA44	21	21	12	42	22	10	56	41
SNORA16A	31	15	30	44	36	28	68	51
RAB42	1422	852	944	1115	900	1242	1720	1351
TAF12	811	647	708	796	668	694	742	989
RNU11	1	0	1	0	1	5	2	0
GMEB1	511	376	427	455	259	412	380	435
YTHDF2	2527	1951	2201	2256	1751	2187	2241	2367
OPRD1	2	0	3	7	0	0	0	0
EPB41	1710	1364	1812	2296	693	2113	1865	2096
TMEM200B	51	181	158	73	63	39	4	0
SRSF4	2157	1991	2089	2658	1545	1892	2326	2557
MECR	239	248	279	243	218	199	187	179
PTPRU	345	548	595	323	164	81	9	0
MATN1	5	74	45	26	12	1	1	0
MATN1-AS1	8	9	18	11	1	7	7	1
LAPTM5	63092	41221	47061	63467	38589	72811	80256	99131
MIR4420	1	0	0	1	2	1	2	7
SDC3	5022	3964	4321	4240	2682	2722	2896	3612
PUM1	3514	2992	3296	3746	1890	3486	3918	4358
SNORD103B	0	0	0	0	0	0	0	0
SNORD103A	0	0	0	0	0	0	0	0
SNORD85	0	0	0	0	0	0	0	0
NKAIN1	16	11	214	6	13	0	0	0
SNRNP40	841	805	858	809	884	673	750	627
ZCCHC17	720	718	779	705	658	618	662	713
FABP3	2788	1564	2174	3237	3980	3702	4308	5030
SERINC2	445	281	331	260	172	147	165	330
LOC149086	0	0	0	0	0	0	0	0
LOC284551	0	0	1	0	0	0	0	1
TINAGL1	51	24	37	20	201	20	0	0
HCRTR1	0	5	7	2	0	0	0	0
PEF1	1272	1306	1336	1230	1535	1109	1314	1253
COL16A1	1027	3999	2575	855	1140	344	23	1
BAI2	237	849	910	369	283	78	6	0
MIR4254	0	0	0	0	0	0	0	0
SPOCD1	81	66	79	142	43	16	130	46
PTP4A2	15570	11745	12639	11288	10169	12953	9036	9714
KHDRBS1	5657	4591	5175	4921	3886	4494	3527	3918
TMEM39B	462	477	443	419	432	383	428	517
KPNA6	2899	2771	3124	3155	1408	2713	3158	3335
TXLNA	2999	3360	3005	2897	1888	2117	2377	2322
CCDC28B	139	207	190	202	227	110	99	73
IQCC	54	41	45	53	26	9	13	23
DCDC2B	0	0	0	0	0	0	0	0
TMEM234	219	191	187	209	169	167	189	194
EIF3I	3413	3784	3864	3574	4056	3219	3072	3437
MTMR9LP	35	76	40	64	36	28	92	58
FAM167B	9	3	3	6	1	0	4	0
LCK	1	1	1	0	0	0	0	0
HDAC1	1356	1306	1297	1499	885	868	1133	1202
MARCKSL1	932	1901	2672	1074	1348	273	88	167
FAM229A	10	9	4	6	7	6	13	5
TSSK3	0	0	1	0	2	3	1	0
BSDC1	1433	1049	1110	1368	831	1026	1156	1392
ZBTB8B	5	15	15	2	3	0	0	0
ZBTB8A	165	315	335	180	97	69	31	26
ZBTB8OS	348	293	303	298	360	323	288	306
RBBP4	3669	3323	4181	3651	3131	3305	3253	3115
SYNC	147	280	309	290	97	183	4	3
KIAA1522	350	684	684	435	241	56	61	43
YARS	3126	3847	3723	2574	2742	2501	2492	2413
S100PBP	643	674	584	781	303	474	590	545
FNDC5	39	91	182	443	42	9	3	3
HPCA	1	3	2	2	3	0	0	0
TMEM54	103	175	117	87	130	14	3	6
RNF19B	2871	1318	1511	2105	1757	2144	1795	2301
AK2	1665	1632	1840	1804	1569	1361	1413	1537
ADC	35	57	45	48	45	3	2	4
TRIM62	268	304	294	217	226	222	231	242
ZNF362	966	1292	1278	1047	850	859	1192	1054
PHC2	3940	2815	2993	3185	3078	2619	2549	3335
MIR3605	2	0	1	0	0	0	0	1
ZSCAN20	108	113	128	174	28	91	133	143
CSMD2	86	75	81	31	16	9	0	0
HMGB4	0	0	0	0	0	0	0	0
LOC402779	0	0	0	0	0	0	0	0
C1orf94	2	0	2	0	0	0	0	0
GJB5	0	0	0	0	0	0	0	0
GJB4	0	0	1	0	0	0	0	0
GJB3	0	1	2	0	0	0	0	0
GJA4	0	4	0	0	0	0	0	0
SMIM12	1491	1270	1310	1274	1584	1235	1160	1039
DLGAP3	5	3	9	4	15	0	4	0
LOC653160	23	35	38	38	25	19	36	40
ZMYM6NB	842	606	605	701	916	976	932	1022
ZMYM6	783	538	604	839	343	774	796	809
ZMYM1	372	258	296	350	156	303	271	269
SFPQ	5471	4342	5319	5164	3442	3786	4216	4527
ZMYM4	1742	2033	2159	2308	749	1529	1853	1997
KIAA0319L	1838	1504	1686	1940	973	1448	1688	2101
NCDN	530	728	704	585	273	297	307	360
TFAP2E	8	2	5	8	5	2	6	6
PSMB2	3267	3221	3553	3614	3384	3135	3397	3449
C1orf216	821	588	628	562	596	615	587	723
CLSPN	991	725	681	1112	183	61	103	46
AGO4	1873	956	1115	1710	592	1728	1794	1886
AGO1	2253	1967	2262	3072	877	2101	1983	2407
AGO3	293	301	311	430	91	240	327	360
TEKT2	3	4	12	1	1	0	0	0
ADPRHL2	865	757	780	657	1059	612	739	691
COL8A2	285	748	611	568	267	120	69	39
TRAPPC3	1759	1442	1527	1516	1786	1467	1383	1581
MAP7D1	8587	5798	6095	7508	6341	6087	7064	7703
THRAP3	6175	5784	5958	6542	3131	5549	5162	5518
SH3D21	342	150	185	343	319	349	609	548
EVA1B	960	1153	853	594	1466	515	618	701
STK40	4193	3094	3573	3896	3097	4141	4640	4491
LSM10	932	895	821	941	1210	899	1032	1309
