AST_E3	AST_E3	AST_E3	AST_E4	AST_E4	AST_E4
UBE4B	912	1139	890	439	1194	1253
KIF1B	858	1323	961	539	1321	1334
PGD	1404	1596	1305	438	1547	1529
APITD1-CORT	0	0	0	0	0	0
APITD1	11	3	8	6	22	15
CORT	0	0	2	0	2	0
DFFA	314	382	334	115	406	348
PEX14	155	186	106	20	169	129
CASZ1	2	2	1	0	2	1
C1orf127	0	0	0	0	0	0
TARDBP	778	933	1008	773	1169	1179
MASP2	0	0	0	5	0	0
SRM	1448	1248	1391	182	1516	933
EXOSC10	635	671	716	310	763	772
MTOR	736	1054	806	312	1119	902
MTOR-AS1	0	0	0	1	0	0
ANGPTL7	1	0	0	0	0	0
UBIAD1	174	190	178	49	194	194
PTCHD2	5	2	2	0	1	0
FBXO2	110	125	41	21	148	116
FBXO44	148	167	88	18	141	125
FBXO6	56	52	51	8	66	71
MAD2L2	255	340	268	54	299	276
DRAXIN	31	127	4	0	16	18
AGTRAP	169	135	148	7	135	109
MTHFR	212	213	232	37	239	254
CLCN6	92	157	144	36	131	115
NPPA-AS1	0	1	1	2	0	0
NPPA	0	0	0	0	0	0
NPPB	0	0	0	0	0	0
KIAA2013	402	319	373	72	376	324
PLOD1	3912	3322	3269	527	3564	2830
MFN2	1016	1243	1088	334	1312	1218
MIIP	99	83	82	6	70	36
TNFRSF8	1	0	1	0	1	0
TNFRSF1B	49	29	29	5	72	55
MIR4632	0	0	0	0	0	0
VPS13D	439	777	773	316	935	875
SNORA59B	0	0	0	0	0	0
SNORA59A	0	0	0	0	0	0
DHRS3	231	559	731	117	281	283
AADACL4	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
C1orf158	0	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
LOC649330	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0
PRAMEF22	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
LOC440563	0	0	0	0	0	0
PRAMEF3	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
PRAMEF16	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
PRAMEF21	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0
PDPN	4	8	5	0	13	6
PRDM2	231	342	261	142	338	328
KAZN	157	92	131	36	153	137
TMEM51-AS1	0	0	0	0	0	0
TMEM51	25	9	31	2	13	12
FHAD1	9	10	3	1	15	14
EFHD2	647	621	619	246	968	794
CTRC	0	0	0	0	1	0
CELA2A	0	0	0	0	0	0
CELA2B	0	0	0	0	0	0
CASP9	91	100	85	18	100	88
DNAJC16	365	451	333	188	565	489
AGMAT	13	11	8	8	18	15
DDI2	40	52	44	16	62	61
RSC1A1	19	27	22	11	37	27
PLEKHM2	692	698	622	113	909	718
SLC25A34	4	4	5	0	1	3
TMEM82	0	0	0	0	0	0
FBLIM1	1193	1379	890	162	1032	888
UQCRHL	1	3	0	1	5	3
FLJ37453	11	7	9	9	10	8
SPEN	759	1139	1056	409	1213	1022
ZBTB17	148	169	143	24	183	149
C1orf64	0	0	0	0	0	0
HSPB7	15	12	10	2	18	14
CLCNKA	0	0	0	0	0	0
CLCNKB	3	1	0	0	1	2
FAM131C	0	2	2	0	1	1
EPHA2	1452	1994	972	273	1878	1219
ARHGEF19	60	45	39	5	42	41
RSG1	35	31	30	5	24	21
FBXO42	184	255	199	50	249	252
SZRD1	1383	1460	1421	298	1508	1236
SPATA21	0	0	0	0	0	0
NECAP2	515	554	485	177	593	515
CROCCP3	10	18	24	8	20	19
MIR3675	0	0	0	0	0	0
NBPF1	90	134	118	26	145	117
CROCCP2	37	40	50	11	38	36
MST1P2	0	1	1	0	0	0
ESPNP	0	0	0	0	0	0
MST1L	0	0	0	0	0	1
CROCC	146	124	133	16	118	115
MFAP2	1361	927	957	136	1010	828
ATP13A2	1104	1191	702	77	741	552
SDHB	356	380	433	203	582	532
PADI2	42	48	11	12	50	12
PADI1	2	2	1	0	1	1
PADI3	0	0	0	0	0	0
PADI4	0	1	0	0	0	0
PADI6	0	0	0	0	0	0
RCC2	1269	1362	1066	246	1094	934
ARHGEF10L	119	104	135	22	146	115
ACTL8	0	0	0	0	0	0
IGSF21	0	0	0	0	0	0
KLHDC7A	0	0	0	0	0	1
PAX7	0	3	0	0	0	0
TAS1R2	0	0	0	0	0	0
ALDH4A1	125	138	118	12	103	85
MIR4695	0	0	0	0	0	0
IFFO2	216	360	192	67	242	226
UBR4	2150	3748	3280	917	3790	3258
EMC1	1475	2027	1595	454	1943	1666
MRTO4	308	309	310	76	366	340
AKR7L	1	0	2	0	0	0
AKR7A3	0	0	0	0	2	1
LOC100506730	17	20	26	7	30	29
AKR7A2	337	403	338	60	393	338
PQLC2	130	114	124	17	114	98
CAPZB	2907	2871	2422	1137	3028	2597
MINOS1	297	285	342	127	363	364
C1orf151-NBL1	0	0	0	0	0	0
NBL1	2	0	3	0	3	1
HTR6	0	0	0	0	0	0
TMCO4	53	65	88	16	91	88
RNF186	0	0	0	0	0	0
OTUD3	61	67	69	30	79	77
PLA2G2E	0	0	0	0	0	0
PLA2G2A	0	0	0	0	0	0
PLA2G5	0	0	0	0	0	0
PLA2G2D	0	0	0	0	0	0
PLA2G2F	0	0	0	0	0	0
PLA2G2C	0	0	0	0	0	0
UBXN10	0	0	0	0	0	0
VWA5B1	0	0	0	0	0	0
LOC339505	0	0	0	0	0	0
CAMK2N1	447	451	375	351	820	635
MUL1	346	349	308	66	396	332
FAM43B	3	8	0	0	4	0
CDA	0	0	0	0	0	0
PINK1	481	430	347	91	493	475
DDOST	2878	3014	2384	504	2838	2573
KIF17	5	4	3	0	6	5
SH2D5	2	3	3	0	7	4
HP1BP3	1033	1395	1408	697	1614	1734
EIF4G3	1223	1711	1489	789	1861	1893
ECE1	4008	4002	2683	890	4715	3722
LOC100506801	1	0	0	0	0	0
NBPF3	21	24	36	10	31	28
ALPL	148	144	19	3	47	47
RAP1GAP	9	8	3	2	8	16
USP48	564	591	595	445	654	778
LDLRAD2	6	8	3	11	4	1
HSPG2	3943	3203	3048	307	3105	1940
CELA3B	0	0	0	0	0	0
CELA3A	0	0	0	0	0	0
LINC00339	70	70	70	27	79	81
CDC42	1974	1973	1865	964	2303	2272
WNT4	12	15	14	7	7	26
ZBTB40	259	360	312	103	427	326
EPHA8	0	1	0	0	0	0
C1QA	0	0	0	0	0	0
C1QC	0	0	0	0	0	0
C1QB	0	0	0	0	0	0
EPHB2	757	794	1352	161	1024	627
MIR4684	0	0	0	0	0	0
MIR4253	0	0	0	0	0	0
LOC729059	0	1	0	0	0	0
KDM1A	1049	1113	1169	563	1230	1289
MIR3115	0	0	0	0	0	0
LUZP1	930	1313	1067	362	1250	1104
HTR1D	11	9	7	1	7	1
HNRNPR	1115	1230	1351	974	1448	1773
ZNF436	337	661	342	160	510	598
C1orf213	8	5	6	3	6	6
TCEA3	53	64	53	15	63	58
ASAP3	512	464	376	100	470	461
E2F2	12	14	38	7	16	18
ID3	540	955	773	147	1297	1170
MDS2	0	0	0	0	0	0
RPL11	4475	4164	3978	2501	5238	5915
TCEB3	646	759	773	402	945	915
LOC100506963	8	13	9	36	13	6
PITHD1	298	311	313	106	308	303
LYPLA2	320	303	289	33	323	193
GALE	207	298	243	38	255	242
HMGCL	238	230	200	63	229	195
FUCA1	331	480	241	160	413	463
CNR2	0	0	0	0	0	0
MIR378F	0	0	0	0	0	0
PNRC2	218	326	297	173	291	336
SRSF10	502	634	628	397	629	770
MYOM3	4	1	6	1	2	5
IL22RA1	1	1	0	0	0	0
IFNLR1	6	10	10	0	11	14
LOC284632	0	0	0	0	0	0
GRHL3	43	67	14	7	25	17
STPG1	63	57	60	14	84	57
NIPAL3	657	646	459	241	919	689
RCAN3AS	0	0	1	0	0	0
RCAN3	122	208	109	101	166	177
NCMAP	0	1	0	2	4	4
SRRM1	621	795	644	423	939	838
CLIC4	5603	6364	8039	4376	8703	8901
RUNX3	1	0	2	0	0	0
SYF2	268	232	244	221	338	432
C1orf63	31	37	63	23	55	63
RHD	0	0	0	0	0	0
TMEM50A	1080	970	1091	665	1340	1272
RHCE	2	0	3	2	1	2
TMEM57	300	276	270	202	358	341
LDLRAP1	177	191	170	39	243	191
MAN1C1	171	10	102	14	124	99
SEPN1	2513	2486	2486	413	2968	2275
MTFR1L	470	447	360	108	599	497
LOC646471	2	1	0	7	0	0
AUNIP	10	24	22	13	16	14
PAQR7	187	150	167	32	192	148
STMN1	1293	1902	1690	933	1326	1527
MIR3917	0	0	0	0	0	0
PAFAH2	126	188	155	60	196	217
EXTL1	2	3	6	0	6	2
SLC30A2	0	0	0	0	0	1
TRIM63	0	0	0	0	0	0
PDIK1L	45	74	81	57	78	67
FAM110D	1	0	0	0	0	0
ZNF593	139	100	112	30	107	122
CNKSR1	1	1	0	0	0	0
CATSPER4	0	0	0	0	0	0
CEP85	129	146	159	45	161	148
SH3BGRL3	3059	2392	3439	607	4232	3252
UBXN11	24	31	33	2	41	19
CD52	0	0	1	0	0	0
AIM1L	0	0	1	0	1	0
ZNF683	0	0	0	0	0	0
LIN28A	0	0	0	0	0	0
DHDDS	343	330	337	79	483	364
HMGN2	752	704	835	360	456	467
RPS6KA1	58	104	42	21	92	123
MIR1976	0	0	0	0	0	0
ARID1A	997	1335	1185	369	1484	1297
PIGV	98	88	137	48	144	158
ZDHHC18	233	200	190	24	207	193
SFN	2	0	2	0	2	1
GPN2	111	113	116	24	114	120
GPATCH3	97	78	84	16	96	61
NR0B2	0	0	0	0	0	0
NUDC	659	514	594	243	657	721
C1orf172	4	1	4	0	1	0
TRNP1	752	400	721	161	992	750
FAM46B	58	39	39	5	47	20
SLC9A1	581	517	552	94	706	455
WDTC1	590	649	555	86	706	524
TMEM222	265	241	234	42	278	214
LOC644961	8	11	10	4	7	9
SYTL1	66	48	14	6	35	39
MAP3K6	309	206	293	50	354	278
FCN3	0	0	0	0	0	0
CD164L2	0	0	0	0	0	0
GPR3	14	17	17	2	15	16
WASF2	1226	1333	1246	312	1737	1472
AHDC1	739	630	474	85	679	518
FGR	0	0	0	0	0	0
IFI6	175	182	134	29	103	99
FAM76A	50	54	67	35	78	68
STX12	446	485	475	258	632	617
PPP1R8	345	375	395	146	471	459
SCARNA1	0	0	0	0	0	0
THEMIS2	26	18	33	1	14	15
RPA2	194	256	253	83	242	216
SMPDL3B	20	19	2	2	7	8
XKR8	107	95	87	18	115	78
EYA3	196	229	267	116	356	348
PTAFR	0	0	0	0	2	0
DNAJC8	674	715	715	430	816	971
ATPIF1	492	474	492	172	658	593
SESN2	487	414	239	39	322	265
MED18	72	73	51	21	71	77
PHACTR4	339	438	290	163	475	406
SNHG3	54	80	121	29	75	68
RCC1	315	353	386	66	355	325
TRNAU1AP	120	127	132	54	130	159
SNHG12	14	15	21	8	14	13
SNORD99	1	0	1	0	1	0
SNORA61	2	4	2	0	1	0
SNORA44	1	1	1	1	1	1
SNORA16A	1	1	3	0	1	2
RAB42	5	4	4	0	5	8
TAF12	263	227	234	120	316	354
RNU11	0	0	0	0	0	0
GMEB1	115	125	116	50	152	154
YTHDF2	578	643	578	211	643	707
OPRD1	0	1	0	0	0	0
EPB41	187	321	167	126	284	290
TMEM200B	75	52	89	23	76	60
SRSF4	692	659	772	276	764	835
MECR	106	114	96	38	87	117
PTPRU	188	492	224	53	496	370
MATN1	1	0	0	0	3	1
MATN1-AS1	3	1	0	2	2	4
LAPTM5	1	13	3	1	4	5
MIR4420	0	0	0	0	0	0
SDC3	1848	4041	1594	322	3232	2665
PUM1	1012	1279	1162	448	1359	1345
SNORD103B	0	0	0	0	0	0
SNORD103A	0	0	0	0	0	0
SNORD85	0	0	0	0	0	0
NKAIN1	11	14	2	2	14	11
SNRNP40	315	363	321	131	336	385
ZCCHC17	272	302	269	125	333	383
FABP3	73	37	39	22	119	65
SERINC2	491	470	203	44	622	374
LOC149086	0	0	0	0	0	0
LOC284551	0	0	0	0	0	0
TINAGL1	90	2	33	1	9	5
HCRTR1	0	0	0	0	0	0
PEF1	446	429	428	72	575	448
COL16A1	736	106	316	36	282	170
BAI2	144	146	108	11	143	68
MIR4254	0	0	0	0	0	0
SPOCD1	138	261	90	22	165	118
PTP4A2	1915	2240	1989	1406	2487	2782
KHDRBS1	1657	1838	1935	1155	2007	2152
TMEM39B	89	124	125	18	116	119
KPNA6	1144	1384	1332	492	1763	1382
TXLNA	1152	1190	985	320	1355	1245
CCDC28B	154	92	105	13	70	71
IQCC	14	12	21	2	20	16
DCDC2B	0	0	0	0	0	0
TMEM234	93	80	58	19	92	67
EIF3I	1457	1463	1460	505	1707	1533
MTMR9LP	14	13	18	1	7	4
FAM167B	6	3	0	0	2	0
LCK	0	0	0	0	0	0
HDAC1	585	672	634	220	758	833
MARCKSL1	1465	1773	1133	178	1458	1154
FAM229A	8	7	7	0	7	5
TSSK3	0	0	1	0	0	0
BSDC1	391	562	363	80	428	410
ZBTB8B	8	11	8	1	12	12
ZBTB8A	151	150	189	84	193	218
ZBTB8OS	66	51	67	43	69	89
RBBP4	614	889	699	457	920	1088
SYNC	382	355	234	264	482	353
KIAA1522	304	325	159	26	281	207
YARS	1632	1666	1117	350	1537	1654
S100PBP	260	284	289	125	343	366
FNDC5	188	65	48	10	60	50
HPCA	4	1	1	0	1	0
TMEM54	112	94	73	14	84	39
RNF19B	185	194	179	65	197	201
AK2	412	450	449	156	502	489
ADC	36	27	9	2	12	11
TRIM62	238	242	259	55	340	199
ZNF362	478	381	349	78	451	351
PHC2	1365	1710	1468	302	1745	1538
MIR3605	0	0	0	0	0	0
ZSCAN20	31	48	32	14	41	41
CSMD2	2	11	37	0	0	1
HMGB4	0	0	0	0	0	0
LOC402779	0	0	0	0	0	0
C1orf94	0	0	1	0	0	0
GJB5	0	0	0	0	0	0
GJB4	0	0	0	0	0	0
GJB3	0	0	0	0	0	0
GJA4	0	0	0	0	0	0
SMIM12	248	254	290	86	362	312
DLGAP3	0	2	0	0	2	1
LOC653160	7	10	6	1	12	5
ZMYM6NB	123	78	121	64	137	178
ZMYM6	157	190	170	99	184	189
ZMYM1	104	141	133	112	155	195
SFPQ	1941	2087	2321	1461	2147	2602
ZMYM4	743	1058	879	575	1132	1163
KIAA0319L	732	1084	583	216	875	873
NCDN	390	507	394	56	484	323
TFAP2E	3	1	0	0	1	2
PSMB2	1117	1124	1127	446	1491	1342
C1orf216	237	219	208	84	208	244
CLSPN	158	245	297	192	212	235
AGO4	85	99	100	51	122	130
AGO1	395	525	484	196	566	495
AGO3	85	131	119	77	129	144
TEKT2	0	0	1	0	0	0
ADPRHL2	209	226	187	36	205	158
COL8A2	455	576	76	63	546	370
TRAPPC3	397	349	338	100	422	462
MAP7D1	2416	1910	1720	261	2073	1519
THRAP3	1545	1723	1523	680	1525	1578
SH3D21	14	22	14	0	11	18
EVA1B	608	280	382	19	304	181
STK40	375	405	355	57	415	352
LSM10	233	215	232	57	259	227
OSCP1	45	48	21	13	41	61
MRPS15	359	412	429	174	467	454
CSF3R	0	0	0	0	0	0
GRIK3	24	53	4	3	14	132
MIR4255	0	0	0	0	0	0
LOC728431	19	14	10	3	18	24
ZC3H12A	26	18	22	6	31	22
MEAF6	334	293	373	147	404	439
MIR5581	0	0	0	0	0	0
SNIP1	154	157	159	72	228	234
DNALI1	81	107	74	27	73	99
GNL2	625	555	539	377	631	758
RSPO1	0	0	1	0	0	1
C1orf109	96	90	83	55	113	99
CDCA8	129	275	249	78	181	134
EPHA10	1	0	0	0	2	3
MANEAL	13	25	11	7	35	36
YRDC	107	134	110	31	145	157
C1orf122	293	255	249	14	267	172
MTF1	159	180	178	80	202	199
INPP5B	126	123	119	35	137	136
SF3A3	638	666	765	380	821	957
FHL3	348	217	204	19	195	130
UTP11L	261	295	313	244	348	323
POU3F1	4	0	0	0	1	0
MIR3659	0	0	0	0	0	0
LOC339442	0	0	0	0	0	0
RRAGC	469	540	558	277	612	705
GJA9-MYCBP	0	0	0	1	0	0
MYCBP	0	0	0	0	0	0
GJA9	0	0	0	0	0	0
RHBDL2	0	1	0	0	0	1
AKIRIN1	667	758	713	343	861	792
NDUFS5	789	840	728	404	923	1031
MACF1	3081	5498	4079	1770	4809	4465
KIAA0754	193	393	312	112	420	334
BMP8A	0	3	0	0	5	1
PPIEL	4	2	5	1	3	6
PABPC4	2256	1815	2148	1039	2407	2358
SNORA55	0	2	0	0	0	0
HEYL	25	3	7	0	3	2
NT5C1A	0	0	0	0	0	0
HPCAL4	0	0	0	0	0	0
PPIE	209	240	247	104	254	282
BMP8B	0	0	1	0	0	2
OXCT2	1	0	2	0	0	0
TRIT1	56	66	77	27	79	73
MYCL1	2	1	2	0	1	1
MFSD2A	19	39	16	2	23	15
CAP1	3708	4003	4109	1681	4836	4389
PPT1	609	619	715	276	707	759
RLF	165	205	211	149	248	258
TMCO2	1	0	0	0	0	0
ZMPSTE24	747	880	843	695	1039	1165
COL9A2	108	164	62	4	69	62
SMAP2	395	619	273	166	529	468
ZFP69B	37	60	61	40	55	62
ZFP69	26	28	23	20	29	43
EXO5	47	51	56	29	68	57
ZNF684	18	21	28	16	14	23
RIMS3	30	51	15	4	36	31
LOC100130557	2	5	4	1	4	5
NFYC	363	415	342	117	427	403
MIR30E	0	0	0	0	0	0
MIR30C1	0	0	0	0	0	0
KCNQ4	0	3	2	1	1	1
CITED4	102	80	121	22	150	41
CTPS1	346	378	408	201	539	423
SLFNL1-AS1	0	2	3	1	2	1
SLFNL1	0	1	1	0	0	0
SCMH1	290	371	305	94	369	379
EDN2	4	9	2	5	19	19
HIVEP3	189	300	264	71	248	155
GUCA2B	0	0	0	0	0	0
GUCA2A	0	0	0	0	0	0
FOXJ3	384	564	467	236	609	670
RIMKLA	1	6	0	1	6	9
ZMYND12	5	2	1	2	6	4
PPCS	253	230	212	125	278	302
CCDC30	4	0	1	0	2	4
PPIH	102	108	159	45	128	135
YBX1	1830	1528	1682	1048	2054	2026
CLDN19	0	0	0	0	0	0
LEPRE1	2406	2016	2012	609	2311	1969
C1orf50	46	67	48	10	76	63
LOC100129924	1	0	0	0	0	1
CCDC23	129	132	136	51	135	138
ERMAP	104	166	98	34	120	144
ZNF691	47	37	44	17	49	54
SLC2A1	798	1136	437	92	660	336
SLC2A1-AS1	2	3	1	0	4	1
FAM183A	1	2	1	0	0	2
EBNA1BP2	370	346	360	167	390	424
WDR65	2	1	0	0	2	0
TMEM125	1	3	2	0	0	3
C1orf210	0	0	0	0	0	0
TIE1	0	0	1	0	0	0
MPL	7	6	2	1	5	7
CDC20	200	351	393	90	212	177
ELOVL1	582	518	621	146	675	543
MED8	275	237	294	81	310	287
SZT2	298	430	305	62	437	330
HYI	113	85	76	19	61	59
PTPRF	1020	1793	765	243	1156	1225
KDM4A	702	964	661	208	786	856
KDM4A-AS1	0	3	2	8	1	3
ST3GAL3	101	126	127	15	153	103
ARTN	5	1	2	0	6	2
IPO13	347	376	325	57	417	334
DPH2	125	110	106	20	145	95
ATP6V0B	356	364	321	29	376	300
B4GALT2	693	625	637	123	633	473
CCDC24	27	16	12	1	17	21
SLC6A9	215	200	62	14	142	134
KLF17	0	1	0	1	0	4
DMAP1	200	159	184	53	164	164
ERI3	411	399	387	65	386	341
RNF220	380	373	339	115	411	452
MIR5584	0	0	0	0	0	0
TMEM53	73	45	53	10	56	55
C1orf228	3	2	1	1	4	0
KIF2C	192	269	319	109	179	166
RPS8	4177	3931	3736	1566	5807	6464
SNORD55	3	2	0	0	0	2
SNORD46	0	1	0	0	0	0
SNORD38A	0	1	1	0	0	0
SNORD38B	0	0	0	0	0	0
BEST4	3	1	1	0	1	0
PLK3	141	129	179	16	195	140
TCTEX1D4	0	0	0	0	0	0
BTBD19	20	14	30	4	18	17
PTCH2	1	1	6	0	6	2
EIF2B3	231	218	250	123	313	290
HECTD3	444	456	395	87	525	443
UROD	528	471	426	89	543	620
ZSWIM5	6	18	5	5	6	10
LOC400752	1	0	0	0	3	1
HPDL	1	2	2	0	0	0
MUTYH	29	40	28	15	34	34
TOE1	55	76	70	12	69	62
TESK2	13	18	11	5	20	15
CCDC163P	8	10	13	7	15	9
MMACHC	40	54	72	14	56	46
PRDX1	2645	2582	2590	1014	3277	3400
AKR1A1	645	628	563	115	650	661
NASP	368	543	527	311	475	548
CCDC17	1	1	0	1	0	0
GPBP1L1	507	680	611	300	775	805
RPS15AP10	1	2	2	0	2	0
TMEM69	92	127	122	47	151	130
IPP	131	174	133	95	210	210
MAST2	620	769	677	170	836	623
PIK3R3	694	935	462	276	813	577
TSPAN1	1	5	1	0	2	4
POMGNT1	686	798	651	140	945	766
LURAP1	15	12	18	3	19	15
RAD54L	39	57	61	15	41	39
LRRC41	1118	1315	1138	187	1438	1123
UQCRH	389	306	366	125	499	454
NSUN4	124	126	143	37	142	147
FAAH	12	16	3	0	19	22
LOC729041	0	1	0	0	1	1
DMBX1	0	0	0	0	0	0
MKNK1-AS1	0	0	0	3	0	0
KNCN	0	0	0	0	0	0
MKNK1	119	150	141	43	182	141
MOB3C	57	82	78	17	101	100
ATPAF1	299	339	302	187	347	426
TEX38	0	1	0	0	0	1
EFCAB14-AS1	0	0	0	6	0	0
EFCAB14	347	492	499	247	674	638
CYP4B1	0	0	0	0	0	0
CYP4Z2P	0	0	0	0	0	0
